Eigvals	3
73.33913811422632	31.605053258792022	24.960866137103746

Proportion explained	3
0.7683148552674162	0.14268577541119767	0.08899936932138626

Species	14	3
UNKNOWN	-17.87352579531109	-2.7777270086931973	6.854947877359733
k__Archaea|p__Euryarchaeota	12.384939225550715	-10.794843496667424	-5.697016646799598
k__Bacteria|p__Actinobacteria	-13.485112076078238	-3.1824454634985027	-5.499011180106266
k__Bacteria|p__Bacteroidetes	-16.905750656639643	6.2933378874357695	1.4427538984345003
k__Bacteria|p__Candidatus_Melainabacteria	-6.595792631398213	0.646548219123203	-2.489973320786845
k__Bacteria|p__Firmicutes	-16.851142260069825	3.8693877961962055	-0.04851395085417953
k__Bacteria|p__Fusobacteria	0.4855784656199269	3.362420842968847	-3.849793347374914
k__Bacteria|p__Lentisphaerae	33.525462342408055	-5.545975426372526	-6.245063939265719
k__Bacteria|p__Proteobacteria	-11.501403604025866	-4.710989150361272	-6.854126327620831
k__Bacteria|p__Spirochaetes	22.28616477853916	-8.506926330036976	-2.375091367708752
k__Bacteria|p__Synergistetes	-19.806333178497027	-1.4902735874111075	3.3774366709116315
k__Bacteria|p__Verrucomicrobia	-19.776244081451456	7.355576353989037	1.2469555183134025
k__Eukaryota|p__Ascomycota	19.64018265094917	-8.018417470830355	19.63204678390327
k__Eukaryota|p__Eukaryota_unclassified	34.47297682040432	23.500326834158304	0.5044493315945874

Site	551	3
1-3-7-trimethylurate	0.010096667013610188	-0.09201589918967945	0.08885518031264424
1-methylguanine	0.020543161047991518	-0.04106375452774965	-0.050034349521644844
1-methylguanosine	0.031119849724012133	-0.09381927269992897	0.01868030475153208
1-methylhistamine	-0.002850288297291575	0.04442562841673518	-0.013265492137393853
1-methylnicotinamide	0.025633762063105747	0.0126968611757419	0.015269222085921092
1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	0.042677865312042415	-0.045428782680929106	0.03314578658333825
10-heptadecenoate	-0.003647177176175945	0.04654146655587442	0.02895096112278344
10-nonadecenoate	-0.0006717819278995245	-0.021447268885203458	-0.022748662343470265
