featureid	UNKNOWN	k__Archaea|p__Euryarchaeota	k__Bacteria|p__Actinobacteria	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Candidatus_Melainabacteria	k__Bacteria|p__Firmicutes	k__Bacteria|p__Fusobacteria	k__Bacteria|p__Lentisphaerae	k__Bacteria|p__Proteobacteria	k__Bacteria|p__Spirochaetes	k__Bacteria|p__Synergistetes	k__Bacteria|p__Verrucomicrobia	k__Eukaryota|p__Ascomycota	k__Eukaryota|p__Eukaryota_unclassified
3-hydroxydecanoate	-0.9099530780552532	-1.855109868555525	-1.5077788608963043	-0.5275607268129285	-1.037463555700728	-0.7707278670341348	-0.8584402313951582	-1.3509927701694948	-1.6665253661609492	-1.4565045168272128	-1.0027765772945365	-0.4838078068114329	-0.3701547555772371	1.0336961288639919
3-hydroxymethylglutarate	-0.2599413336692753	0.5056383324589566	-0.17810641424920237	-0.6551681218885499	-0.2802456576881722	-0.5438606681112385	-0.30136410364307165	0.5772969734029261	-0.07897084896622009	0.5492366221519056	-0.36700407960547565	-0.7530416693063686	0.5283668640385906	-0.761366204326523
3-hydroxyoctanoate	-5.201839196737051	-2.8298351881506294	-5.2773332793188175	-5.116449496556929	-4.374716090506048	-5.229184427548245	-3.6410386036203874	-0.5553892191865468	-5.164921635223015	-1.6171055898669504	-5.53105133053108	-5.4008462749713635	-0.9279887904499637	0.4744465331000404
3-methyladipate/pimelate	-0.7467012515157152	-1.3570419864773573	-0.8372218804267604	-0.7507840388725724	-0.9682731973404546	-0.7567219134327378	-1.1001862805435223	-1.7532399387960635	-0.8784370385834831	-1.5407742452399704	-0.7137971773104663	-0.6957648451838048	-1.4697182556765767	-1.7245955815615575
3-methylglutaconate	-3.370596962470849	-1.6408764360075079	-3.2088673859470145	-3.38477104161566	-2.793758782448905	-3.3863826994689874	-2.3851280415108347	-0.37940831388247953	-3.0949639693252387	-1.017751591169258	-3.5329170701169925	-3.5681356708710426	-0.9696494467653927	-0.3736690939038732
3-methylhistidine	-1.297484102719587	0.12900178386171968	-0.5489874760251483	-0.7547081122815442	-0.34984835753405097	-0.7439300566001977	0.022123587514262466	0.983871593011201	-0.4584679687485851	0.3445603711002576	-1.136609664143526	-0.8038459357638161	-0.8568839335117722	1.4833042690369047
3-methylxanthine	0.957595080934794	-0.7577756823731789	0.3030447132699863	0.9447870729055523	0.29003272004230585	0.8192525327437336	0.07636689284362741	-1.3256312496009854	0.14423192324195566	-0.8818154617199347	0.9035539463271931	1.054022214982799	0.12795433744527296	-0.33723351685375974
4-aminophenol	-4.004441599013278	-3.035187140306597	-3.769540429814814	-3.7789734293776185	-3.499806422466798	-3.806035403347657	-3.2086968582175377	-2.2411299919027003	-3.71864249658899	-2.6939309836443837	-4.0199295532878025	-3.8549883448156748	-2.944945166012855	-1.7769909757567435
4-guanidinobutanoic acid	-0.24237664398986736	-1.0965790646198865	-1.1223570390807502	-0.6659255326005951	-0.9454163565023848	-0.7623964954216645	-1.0395635971615758	-1.1050837668456988	-1.2076746302783679	-0.8383290304228788	-0.5322923201680752	-0.7025110157306025	0.7975951907839893	-0.7874834397422323
4-hydroxy-3-methylacetophenone	-3.5402752593607176	-2.62585882183134	-3.4168401433763878	-3.4346072366339424	-3.1530278471510487	-3.456858878110619	-2.8932608739875016	-1.869095443563335	-3.365946678567085	-2.266547180819928	-3.6042396051118892	-3.52368740358544	-2.305453944176397	-1.5736156093972782
4-hydroxybenzaldehyde	-0.4009445399925373	-0.9137503702921617	-0.13325810943597527	0.33091094824364187	-0.023975349562042503	0.2132505733355904	0.10278539875860093	-0.8273775390325511	-0.22126673724788992	-0.9883500978461619	-0.17063468510015767	0.4514607095542309	-1.5901497892926861	0.9084117478978135
4-hydroxybenzeneacetonitrile	-4.8030213855900925	-2.3238961330425703	-4.425823647835562	-4.867185835611845	-3.9854364050804643	-4.817551963324582	-3.4822598663080226	-0.7789819028586329	-4.242660214265009	-1.605202273204867	-4.978225666899048	-5.111319582919747	-1.8490685168746288	-1.2394406156995097
4-hydroxystyrene	0.09658035540150633	-0.9981591780598844	-0.39920653063163036	0.11847726991620955	-0.3206143547708722	0.008649005590926406	-0.40902214541075854	-1.2100768171568965	-0.5119128170791157	-0.9791831690987536	0.0308725587788512	0.17796018277297196	-0.16454416383579007	-0.30691894841224837
4-methylcatechol	-0.66945929535196	-0.5110311315168365	-0.752037750547242	-0.9939373272329146	-0.8621436624819925	-0.9298704011079982	-0.9484869878788571	-0.6462058942627766	-0.7116295126202203	-0.53759791020717	-0.7592911785221732	-1.040013367434137	-0.34090270466773154	-1.5277744671235305
4-nitrophenol	-1.7720517044464423	-1.9527346761986202	-2.0538838348570176	-1.9741900828322907	-2.0170179489523283	-1.9890588331641417	-2.053810649641914	-1.950193106489438	-2.0674108956314265	-1.862279723402085	-1.8877374391281005	-2.0018836628695085	-1.3137200323175242	-2.056807607466132
4-pyridoxate	1.3388041282685985	0.46753342536865006	1.1113953975145636	1.2604193355112983	0.9605283002973648	1.2455124924566916	0.7738135993948922	-0.052661668450924216	1.0507795667663054	0.2598359856437824	1.3431722010090272	1.324786943324289	0.5549856628560499	-0.032933002393394306
