Eigvals	3
215.20281855214796	50.83908285349131	36.10667822419714

Proportion explained	3
0.9225445943591526	0.051485729747181005	0.02596967589366633

Species	59	3
UNKNOWN	-15.37527177923243	9.642972340474289	4.612198533294197
o__Methanobacteriales|f__Methanobacteriaceae	-10.316001414421068	8.84796835184565	1.7009869731086091
o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	24.42756620538647	7.119781849484495	2.4412968717360415
o__Actinomycetales|f__Actinomycetaceae	46.91588380194538	-15.595736736228524	-1.5949905866474656
o__Bifidobacteriales|f__Bifidobacteriaceae	-22.463125532790908	-2.271076145287057	-12.007286778784255
o__Micrococcales|f__Micrococcaceae	36.8947138962484	5.043375002965898	-0.2849504614469582
o__Propionibacteriales|f__Propionibacteriaceae	17.325453113119323	1.048215138647183	7.606830787626856
o__Coriobacteriales|f__Atopobiaceae	40.76740392922361	-6.404585312796715	3.1375982104437794
o__Coriobacteriales|f__Coriobacteriaceae	-24.94448432318786	2.769830781977743	-2.3325464691209317
o__Eggerthellales|f__Eggerthellaceae	33.28966239361885	-11.170392622215696	-1.9260587884609326
o__Bacteroidales|f__Bacteroidaceae	-23.289379961901496	2.391349818233523	1.2920952505943601
o__Bacteroidales|f__Barnesiellaceae	-21.287062592949002	0.8036855060835982	5.2977254091378745
o__Bacteroidales|f__Dysgonamonadaceae	25.14050890962699	6.572002223323562	0.08409615497572531
o__Bacteroidales|f__Odoribacteraceae	-17.49336501786885	-1.2443828928024787	3.2179985545883114
o__Bacteroidales|f__Porphyromonadaceae	-2.6233407084680596	4.18332551847199	-9.595747711340914
o__Bacteroidales|f__Prevotellaceae	-24.949365881290802	2.109386921173571	3.6890019276548514
o__Bacteroidales|f__Rikenellaceae	-19.742092584647438	1.7278528400550464	5.712850772857223
o__Bacteroidales|f__Tannerellaceae	-23.72142424822908	2.247264095432067	1.3185228047713133
o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified	73.25234847740965	11.404445314959867	0.9868448899833915
o__Bacillales|f__Bacillales_unclassified	44.26688634575153	8.023896213918809	-4.275498913320808
o__Bacillales|f__Staphylococcaceae	46.6756216789932	5.003447832865411	0.9605712720009196
o__Lactobacillales|f__Carnobacteriaceae	-3.6950536664401326	-13.964692374200109	5.164145423741549
o__Lactobacillales|f__Enterococcaceae	-17.489717314559016	-0.11335431486438022	-1.4520564668201656
o__Lactobacillales|f__Lactobacillaceae	-42.611642135247344	-1.0797398734561805	-3.93048313066439
o__Lactobacillales|f__Leuconostocaceae	-11.599192847112555	2.4326206699489115	-7.7207022290231135
o__Lactobacillales|f__Streptococcaceae	-8.718904460234622	-9.26494120868796	8.143057197977496
o__Clostridiales|f__Christensenellaceae	12.409952239875686	8.73402157889946	-1.532582878872635
o__Clostridiales|f__Clostridiaceae	-15.886124631846045	-2.122394390669101	-4.342049341616358
o__Clostridiales|f__Clostridiales_unclassified	-16.122675295349122	6.319792602896025	1.1968022245124257
o__Clostridiales|f__Eubacteriaceae	-25.781928407681722	3.0124840202218177	-7.213112297825982
o__Clostridiales|f__Lachnospiraceae	-23.986944211653707	1.4540310688138558	1.4225744546362151
o__Clostridiales|f__Oscillospiraceae	-5.379741483588504	1.2487081133660554	-5.194600865695739
o__Clostridiales|f__Peptococcaceae	39.99840438638551	8.619457341077078	3.417199814405167
o__Clostridiales|f__Peptostreptococcaceae	42.96758446719479	-1.5238459888993323	-7.301799101614917
o__Clostridiales|f__Ruminococcaceae	-23.877967089418753	1.704577870170006	2.3977928891650473
o__Erysipelotrichales|f__Erysipelotrichaceae	-7.988088244934529	-2.6815970164043894	4.113549960709783
o__Firmicutes_unclassified|f__Firmicutes_unclassified	-16.51303732938997	-3.2831181381689136	5.425253502982021
o__Acidaminococcales|f__Acidaminococcaceae	-21.045279260542497	1.59307988917609	-4.558750989303866
o__Selenomonadales|f__Selenomonadaceae	25.507707322515557	0.8783810132498082	3.751393092627934
o__Veillonellales|f__Veillonellaceae	-25.475392414561767	0.2918452231738695	-2.547879072991182
o__Tissierellales|f__Peptoniphilaceae	-27.035561933429616	-0.3853521077862494	1.408910547781455
o__Tissierellia_unclassified|f__Tissierellia_unclassified	13.12941434584656	-14.383844756083484	-7.571907232219147
o__Fusobacteriales|f__Fusobacteriaceae	46.56646615764323	-19.28152748267237	3.9352891938939067
o__Victivallales|f__Victivallaceae	29.900127474086922	-2.5454889951056145	-9.520188005557339
o__Burkholderiales|f__Oxalobacteraceae	19.92447182735275	5.291021260089075	-0.8310623851653209
o__Burkholderiales|f__Sutterellaceae	-11.742614801397014	-6.632053788296626	0.9628388997112933
o__Neisseriales|f__Neisseriaceae	32.88716370454058	-6.67129248885615	2.615963421936847
o__Desulfovibrionales|f__Desulfovibrionaceae	-15.667367994752636	1.3221591489808364	1.984602386228582
o__Campylobacterales|f__Campylobacteraceae	-48.02874988598044	-7.289371143460314	7.214146371597099
o__Enterobacterales|f__Enterobacteriaceae	-26.350982252290667	-0.3359888559195644	-2.666392846543632
o__Enterobacterales|f__Hafniaceae	46.82477647124063	2.7661997823725577	1.928721236271428
o__Enterobacterales|f__Morganellaceae	-1.5630557831258882	1.1050840886891524	3.192517788728022
o__Pasteurellales|f__Pasteurellaceae	-17.701300228062415	-1.6258644076767157	0.9812415524833396
o__Pseudomonadales|f__Pseudomonadaceae	-45.34289312170404	-5.547556001203811	-4.090287148462916
o__Proteobacteria_unclassified|f__Proteobacteria_unclassified	9.520692348931378	1.878698372332721	-5.439754082182053
