Eigvals	3
182.3625502591505	60.18962611285537	47.848268188268094

Proportion explained	3
0.8490554689461061	0.09249282427886563	0.05845170677502828

Species	36	3
UNKNOWN	-21.220655630779728	-0.11623718703623726	3.300113791165876
c__Methanobacteria|o__Methanobacteriales	-21.613717837613006	-7.177711677308269	-9.71066111547756
c__Thermoplasmata|o__Methanomassiliicoccales	-18.340747604934517	6.418277796663252	11.104901659072215
c__Actinobacteria|o__Actinomycetales	-20.693571526692676	-3.2457796479785817	-6.9403762212046916
c__Actinobacteria|o__Bifidobacteriales	-20.518570737361873	0.7327998203011555	-1.2196445430697014
c__Actinobacteria|o__Corynebacteriales	61.28080984290566	-0.133745753528063	8.814526443477597
c__Actinobacteria|o__Micrococcales	51.053968201024226	-23.745538632031817	7.747025323329442
c__Actinobacteria|o__Propionibacteriales	37.05007667889032	-15.026842166379518	1.89920018277313
c__Coriobacteriia|o__Coriobacteriales	-18.399551917153577	6.903090681258457	-3.4107646954155113
c__Coriobacteriia|o__Eggerthellales	-35.334157336389815	20.9110967854963	10.570995754734342
c__Bacteroidia|o__Bacteroidales	-26.200201548579315	5.739522632252129	-2.143918815056646
c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	35.89230084355059	8.163292390034494	-6.359304623188111
c__Bacilli|o__Bacillales	-0.43890061509033734	-0.6718609023450184	19.96294635780478
c__Bacilli|o__Lactobacillales	-19.04247611469928	-5.658837564996833	0.5918885526871541
c__Clostridia|o__Clostridiales	-27.416229411961044	4.77750807385018	-1.9224028498062944
c__Erysipelotrichia|o__Erysipelotrichales	-36.19330506533238	-2.31773130122318	0.5234399104880735
c__Firmicutes_unclassified|o__Firmicutes_unclassified	-19.69139011276291	8.0331677924734	-3.7424105034325823
c__Negativicutes|o__Acidaminococcales	-5.192766697362365	0.8969664076376788	13.296565021935102
c__Negativicutes|o__Selenomonadales	25.60227509869117	18.673998527184985	-3.233655933554828
c__Negativicutes|o__Veillonellales	-19.305480300415514	3.154284792227908	0.8463028055531795
c__Tissierellia|o__Tissierellales	-22.657174745934693	3.0522504052037265	3.1406358506849164
c__Tissierellia|o__Tissierellia_unclassified	-29.338093456824016	-19.08285895686046	-14.670870985018235
