featureid	UNKNOWN	c__Methanobacteria|o__Methanobacteriales	c__Thermoplasmata|o__Methanomassiliicoccales	c__Actinobacteria|o__Actinomycetales	c__Actinobacteria|o__Bifidobacteriales	c__Actinobacteria|o__Corynebacteriales	c__Actinobacteria|o__Micrococcales	c__Actinobacteria|o__Propionibacteriales	c__Coriobacteriia|o__Coriobacteriales	c__Coriobacteriia|o__Eggerthellales	c__Bacteroidia|o__Bacteroidales	c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	c__Bacilli|o__Bacillales	c__Bacilli|o__Lactobacillales	c__Clostridia|o__Clostridiales	c__Erysipelotrichia|o__Erysipelotrichales	c__Firmicutes_unclassified|o__Firmicutes_unclassified	c__Negativicutes|o__Acidaminococcales	c__Negativicutes|o__Selenomonadales	c__Negativicutes|o__Veillonellales	c__Tissierellia|o__Tissierellales	c__Tissierellia|o__Tissierellia_unclassified	c__Fusobacteriia|o__Fusobacteriales	c__Lentisphaeria|o__Victivallales	c__Betaproteobacteria|o__Burkholderiales	c__Betaproteobacteria|o__Neisseriales	c__Deltaproteobacteria|o__Desulfovibrionales	c__Epsilonproteobacteria|o__Campylobacterales	c__Gammaproteobacteria|o__Enterobacterales	c__Gammaproteobacteria|o__Pasteurellales	c__Gammaproteobacteria|o__Pseudomonadales	c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	c__Synergistia|o__Synergistales	c__Verrucomicrobiae|o__Verrucomicrobiales	c__Saccharomycetes|o__Saccharomycetales	c__Eukaryota_unclassified|o__Eukaryota_unclassified
2-aminoadipate	0.11964580181171813	0.7010501261069431	-0.24374286211584906	0.6310993407881189	0.405230663896061	-2.929087760607699	-3.3209585156957337	-2.2054352080780726	0.6769925683472038	0.8310430001441	0.8192100215019507	-0.8762443674940394	-1.6167519160015398	0.030177066280560716	0.8127121788233571	0.7075544611726654	0.7794270136507799	-0.994864804941118	-0.38075405226861314	0.3187492436757364	0.2799356130245303	0.8660852504592067	-0.7863501486849018	-1.4209578329864943	0.5411984830990617	-0.6345582443046491	-0.23846958185343503	-1.759150464267842	0.16616242133064185	-0.18346813201868084	-0.38725196573706167	0.2957514608985854	-0.6233075447810734	0.9052164131428799	-1.7541233100122393	-2.8021870370050115
2-aminobutyrate	-0.7243749786302227	-1.4325016605164382	-0.17392251829179362	-1.2573694947084424	-0.953979682570884	4.380010737394596	3.9567104847591295	2.720799180068785	-1.020505569913683	-1.3353911389192765	-1.3841196535599118	1.9475152374454652	1.4487480374015225	-0.7002288766008347	-1.4326941453542903	-1.733389498406841	-1.1242109909874662	0.7713487664201022	1.4272076629957668	-0.7876729545360308	-0.8512119963225726	-2.046831123679937	0.5280766542579634	2.2917892607673034	-1.1066983894372031	-0.3082844654451331	-0.42152160578139863	3.480231567328385	-0.7092107812849284	-0.3185113268724704	1.6034230581992779	-0.01104004024837546	0.9597793102950607	-1.4822840144406808	3.594497258127554	3.4850678913413207
2-aminoheptanoic acid	-3.17440786493122	-3.5008933728932403	-2.63290465996067	-3.241282067054281	-3.05577678310558	3.842288850695297	1.82448701558102	1.075456516816048	-2.563214469700798	-3.370700503430366	-3.296525113872965	2.137172133932226	-1.4871242750521314	-3.2486330643402566	-3.447425766512247	-4.546160797171983	-2.619577120438132	-1.790849863755314	1.7614291498831571	-2.84229511270513	-3.1370154454869525	-4.727283141568989	-1.6591224409376801	1.8148790214118276	-3.151917594320577	-3.743942377330663	-3.074230421178635	4.167131064664808	-2.970717256451413	-2.683712475556997	2.3665479281893553	-0.3200251653659627	-0.14277255572524328	-3.3298762929229406	4.808195629266755	1.5518540769785265
2-deoxyadenosine	5.1681431108778515	4.396251681363054	5.565593603733003	4.696446536676253	5.115512255415749	-2.788800039829347	-3.929315898566761	-1.8592857890507026	5.428929965998769	8.506355063046053	6.111868311673159	0.22661121596398726	3.3092021716124616	4.42308368261452	6.145791532086601	6.386426620581408	5.656145789159812	3.823772963325243	2.209725979509468	5.24259878135202	5.581282301008642	4.024387618916158	1.5446329070478018	-0.9401279216119391	5.557501250238742	3.2050308108676404	3.66865177590578	-0.747511675687201	4.8397790398150775	3.974992235790461	1.0664618934671948	1.2688906186833524	2.279238187603586	6.059526480306928	-3.514109616021892	-1.2728687477000624
2-deoxycytidine	1.771023918401577	3.6526313364661167	0.4193499942720065	3.0866568246135375	2.2102472020708444	-1.4362767483651369	0.35183891246014976	0.9541717329208053	2.035617463702937	0.1805566994124268	2.21053348560182	0.5988601516683181	-0.7337329499264409	2.3250975307154222	2.2779851716983006	2.676800310217099	2.0516968979936383	0.07772659962104989	-0.03346692627597492	1.8010254385462408	1.647707483253963	5.140931302803462	2.32772270216999	0.9357445412983625	2.1162483266000853	2.62986407876039	2.4046918556963757	-1.4927469694424573	1.9888342701025814	1.9474453897009072	0.5185526227616821	3.423722134810795	0.8673753289359467	2.4231291869904394	0.47550058625230085	-0.902006092441655
2-hydroxy-3-methylbutyrate	-0.5161537565681225	0.293822811814235	-1.0754279363241368	0.05984567176403521	-0.316228151154059	-1.1689899488800362	-0.5128480937691497	-0.36379753838093953	-0.36573659386319557	-1.3158548857296095	-0.3594657396587644	-0.4968125978155147	-1.4264625121187957	-0.26133982116528554	-0.3425823183616503	-0.25989951067716266	-0.36792104818428073	-1.1121568064137097	-0.8534255306039419	-0.4809347336638399	-0.5806744577941072	0.8608239828342685	-0.06377011324852733	-0.34270902472293296	-0.37905429192788365	-0.13242538370063484	-0.19523503815667276	-1.2271456567964094	-0.3982457795125831	-0.3735125468967011	-0.5390185973360209	0.5179547644687805	-0.6056993740611658	-0.2692631204919931	-0.2498566857975527	-1.1483964194744403
2-hydroxy-3-methylpentanoate	0.23506155111062466	0.5513357922872437	0.01727291724445923	0.45316403551813833	0.30256904039011956	0.500552559949664	0.8046842728853973	0.7216502285721778	0.25972455355482493	-0.2544516069804921	0.22637891557820944	0.5316388251583881	0.04675321592150583	0.36847057340901124	0.23034376322631875	0.24580339852371136	0.2460912100521282	0.11689944566190924	0.28470217230380424	0.23898846540404994	0.1825602354489928	0.7744768637942836	0.6135645473600584	0.6619098422744092	0.2491325708852452	0.49522130979630585	0.4362723236880255	0.34119970974157343	0.2934442370833801	0.3537750200979639	0.45851576822247986	0.8141941421658558	0.37468734652132496	0.2584563063015579	0.8433121231464248	0.42240787631616883
2-hydroxyglutarate	-0.8765155782217877	-1.1991055816862346	-0.6148729103198507	-1.093813782210575	-0.9444111338026977	0.9703593189152177	0.5455531383655647	0.20519456750266518	-0.8960920705737387	-0.8710874975220539	-1.040099334490838	0.20236501205861224	-0.11732127682085247	-0.9279317506603304	-1.0693821804663346	-1.2659640216233798	-0.9191036240801103	-0.33676637824810207	0.12942508096504646	-0.8587090253372085	-0.8883467875753195	-1.5499034783966157	-0.5603553819215601	0.202254657931076	-0.9767071470798117	-0.9333775430856792	-0.8723904300610439	0.8463739427608735	-0.8740396592667756	-0.7780234179243903	0.16911048050104882	-0.6207369953047503	-0.21374314776836045	-1.0803545126495504	0.7587760963590183	0.5469795399914635
2-hydroxyhexadecanoate	1.449309662133172	1.7252342391377704	1.2982930574607945	1.6943064930251643	1.5847147422214751	0.9916370155479616	0.7554689837407262	1.0841063474228616	1.7159446852317264	1.5590397574133017	1.6980728763554318	1.6188648556500174	0.8939842188703584	1.4466241569343592	1.683583396937008	1.5525326598037141	1.7461347249935144	1.1191064515859992	1.7022130562254945	1.5532901702771635	1.4964604366330176	1.744436708380778	1.3475693534682849	1.4240009682535046	1.6108108907694891	1.191074811561703	1.379342927906721	1.4111272581340035	1.5003061347958977	1.4102875599065277	1.800158370060655	1.9233969185919773	1.4722496914429943	1.7358070510533599	1.6091439449238805	0.8192530328891109
2-hydroxyibuprofen	-0.8336884047955233	0.40209293061865825	-1.706704873719393	0.03156677641350347	-0.5458633938612201	-2.2503650562038016	-1.1071339224841639	-0.8534428653180439	-0.6601486715141847	-2.0396355522953256	-0.6045673754320597	-1.1583403310417193	-2.2897573421172903	-0.4414148070521611	-0.5680240256952234	-0.3611359964787271	-0.6626921710422045	-1.806474427033523	-1.6808192461240585	-0.8081383308294323	-0.9352697621263855	1.3397549796400834	-0.2377795561646452	-0.8908068391095483	-0.6346142387539944	-0.1971372627484338	-0.34647762960594797	-2.385391436344733	-0.6706125609954277	-0.6441354448215817	-1.247951897205599	0.5221676287760364	-1.166463821683401	-0.4671225795077103	-0.955705150852132	-2.0597256625425344
