	feature_id	axis	embed_type	values
70	c__Saccharomycetes|o__Saccharomycetales	1	microbe	1.1746996641159058
71	c__Eukaryota_unclassified|o__Eukaryota_unclassified	1	microbe	0.15473927557468414
72	UNKNOWN	2	microbe	0.23459960520267487
73	c__Methanobacteria|o__Methanobacteriales	2	microbe	1.1307536363601685
74	c__Thermoplasmata|o__Methanomassiliicoccales	2	microbe	-0.3071078658103943
75	c__Actinobacteria|o__Actinomycetales	2	microbe	0.9677450656890869
76	c__Actinobacteria|o__Bifidobacteriales	2	microbe	0.588791012763977
77	c__Actinobacteria|o__Corynebacteriales	2	microbe	-1.7463390827178955
78	c__Actinobacteria|o__Micrococcales	2	microbe	-1.8912262916564941
79	c__Actinobacteria|o__Propionibacteriales	2	microbe	-1.0176706314086914
80	c__Coriobacteriia|o__Coriobacteriales	2	microbe	0.8312731385231018
81	c__Coriobacteriia|o__Eggerthellales	2	microbe	0.31449076533317566
82	c__Bacteroidia|o__Bacteroidales	2	microbe	0.8548874258995056
83	c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2	microbe	0.06049848347902298
84	c__Bacilli|o__Bacillales	2	microbe	-1.4615559577941895
85	c__Bacilli|o__Lactobacillales	2	microbe	0.30568113923072815
86	c__Clostridia|o__Clostridiales	2	microbe	0.8436566591262817
87	c__Erysipelotrichia|o__Erysipelotrichales	2	microbe	0.6944965124130249
88	c__Firmicutes_unclassified|o__Firmicutes_unclassified	2	microbe	0.9001367688179016
89	c__Negativicutes|o__Acidaminococcales	2	microbe	-0.8247815370559692
90	c__Negativicutes|o__Selenomonadales	2	microbe	0.19887498021125793
91	c__Negativicutes|o__Veillonellales	2	microbe	0.4481087028980255
92	c__Tissierellia|o__Tissierellales	2	microbe	0.3333407938480377
93	c__Tissierellia|o__Tissierellia_unclassified	2	microbe	1.446674108505249
94	c__Fusobacteriia|o__Fusobacteriales	2	microbe	-0.039928507059812546
95	c__Lentisphaeria|o__Victivallales	2	microbe	-0.3102809190750122
96	c__Betaproteobacteria|o__Burkholderiales	2	microbe	0.655718982219696
97	c__Betaproteobacteria|o__Neisseriales	2	microbe	-0.1929144710302353
98	c__Deltaproteobacteria|o__Desulfovibrionales	2	microbe	0.1595245897769928
99	c__Epsilonproteobacteria|o__Campylobacterales	2	microbe	-0.8265835046768188
100	c__Gammaproteobacteria|o__Enterobacterales	2	microbe	0.36370396614074707
101	c__Gammaproteobacteria|o__Pasteurellales	2	microbe	0.14358842372894287
102	c__Gammaproteobacteria|o__Pseudomonadales	2	microbe	0.44661015272140503
103	c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2	microbe	1.2910512685775757
104	c__Synergistia|o__Synergistales	2	microbe	-0.0572996623814106
105	c__Verrucomicrobiae|o__Verrucomicrobiales	2	microbe	0.9733700156211853
106	c__Saccharomycetes|o__Saccharomycetales	2	microbe	-0.18534491956233978
107	c__Eukaryota_unclassified|o__Eukaryota_unclassified	2	microbe	-1.8892580270767212
0	1-3-7-trimethylurate	0	metabolite	0.0
1	1-methylguanine	0	metabolite	1.2749699354171753
2	1-methylguanosine	0	metabolite	2.91690993309021
3	1-methylhistamine	0	metabolite	2.045116424560547
4	1-methylnicotinamide	0	metabolite	2.950562000274658
5	1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	0	metabolite	2.499042510986328
6	10-heptadecenoate	0	metabolite	1.2279678583145142
7	10-nonadecenoate	0	metabolite	0.9837971925735474
8	12.13-diHOME	0	metabolite	1.2000432014465332
9	13-cis-retinoic acid	0	metabolite	2.6551530361175537
10	13-docosenoate	0	metabolite	2.092022180557251
11	17-methylstearate	0	metabolite	2.4574315547943115
12	2'-O-methyladenosine	0	metabolite	1.7001111507415771
13	2-aminoadipate	0	metabolite	1.001667857170105
14	2-aminobutyrate	0	metabolite	2.1857426166534424
15	2-aminoheptanoic acid	0	metabolite	3.5948705673217773
16	2-deoxyadenosine	0	metabolite	-0.015517627820372581
17	2-deoxycytidine	0	metabolite	0.19146397709846497
18	2-hydroxy-3-methylbutyrate	0	metabolite	0.963922917842865
19	2-hydroxy-3-methylpentanoate	0	metabolite	1.173121690750122
20	2-hydroxyglutarate	0	metabolite	1.675700068473816
21	2-hydroxyhexadecanoate	0	metabolite	1.3206777572631836
22	2-hydroxyibuprofen	0	metabolite	0.6856400370597839
23	2-hydroxyoctanoate	0	metabolite	1.463653326034546
24	21-deoxycortisol	0	metabolite	2.7129580974578857
25	3'-O-methyladenosine	0	metabolite	0.6777920722961426
26	3-hydroxydecanoate	0	metabolite	0.13448205590248108
27	3-hydroxymethylglutarate	0	metabolite	1.9959301948547363
28	3-hydroxyoctanoate	0	metabolite	2.7495007514953613
29	3-methyladipate/pimelate	0	metabolite	2.2098302841186523
30	3-methylglutaconate	0	metabolite	2.657926321029663
31	3-methylhistidine	0	metabolite	2.920121431350708
32	3-methylxanthine	0	metabolite	0.47361916303634644
33	4-aminophenol	0	metabolite	2.6696295738220215
34	4-guanidinobutanoic acid	0	metabolite	1.1294960975646973
35	4-hydroxy-3-methylacetophenone	0	metabolite	2.5408997535705566
36	4-hydroxybenzaldehyde	0	metabolite	1.8789114952087402
37	4-hydroxybenzeneacetonitrile	0	metabolite	3.4767117500305176
38	4-hydroxystyrene	0	metabolite	1.3222944736480713
39	4-methylcatechol	0	metabolite	0.6480455994606018
40	4-nitrophenol	0	metabolite	1.307784914970398
