Eigvals	3
96.08800369194665	47.144773496964596	20.51044973759263

Proportion explained	3
0.7774283527954438	0.18714970250494725	0.03542194469960899

Species	25	3
UNKNOWN	-13.630929635467615	3.347278969598179	4.026662609340665
p__Euryarchaeota|c__Methanobacteria	18.69864145534959	-6.166000400812172	1.313043284793974
p__Euryarchaeota|c__Thermoplasmata	43.41788452351757	10.351336458474021	1.4278347811649401
p__Actinobacteria|c__Actinobacteria	-11.014019036367939	-2.1753824286770373	-0.6599011538383763
p__Actinobacteria|c__Coriobacteriia	-6.0860228473455615	0.2685833380364003	2.3205957212524035
p__Bacteroidetes|c__Bacteroidia	-14.23824949718814	-0.9749027268960289	5.992386516206432
p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	1.8042571823181557	-7.980711823128008	2.657782204118325
p__Firmicutes|c__Bacilli	-9.31239845617215	-1.657560987676629	-7.638848797023047
p__Firmicutes|c__Clostridia	-14.53246703311847	0.08334327721208895	-1.09985515084219
p__Firmicutes|c__Erysipelotrichia	-9.009084347091948	1.808616529545419	-5.904677326784762
p__Firmicutes|c__Firmicutes_unclassified	-13.571803534961255	1.5952515048160334	-2.9800587139796284
p__Firmicutes|c__Negativicutes	-9.088696500338633	0.03361169798974872	0.0395119122372139
p__Firmicutes|c__Tissierellia	-15.045603857195173	3.9257806588534385	-1.4138516326755033
p__Fusobacteria|c__Fusobacteriia	18.627223741521252	19.470891540516096	2.7980921459465984
p__Lentisphaerae|c__Lentisphaeria	0.6963225380251938	-17.565065187418682	2.3427712844532933
p__Proteobacteria|c__Betaproteobacteria	-14.117987124509046	-3.0505037295112682	7.057621096967093
p__Proteobacteria|c__Deltaproteobacteria	-26.796356718657993	-1.5598493424242275	1.2938775693622493
p__Proteobacteria|c__Epsilonproteobacteria	29.917707779148675	19.03196144056015	-3.673294128544849
p__Proteobacteria|c__Gammaproteobacteria	-7.237759637929709	0.34874353069734393	-11.572555292918452
p__Proteobacteria|c__Proteobacteria_unclassified	-10.326429256923598	-0.1992964981237777	2.2084067171518185
p__Spirochaetes|c__Spirochaetia	31.016987113942896	-5.647814892069214	3.374683528501068
p__Synergistetes|c__Synergistia	-12.436482316426787	5.611323418256105	-0.5900687205040174
p__Verrucomicrobia|c__Verrucomicrobiae	-15.070487290459939	0.539137055052716	0.5900079012764177
p__Ascomycota|c__Saccharomycetes	40.27239955371061	-27.864008882591598	-3.7474877383991227
p__Eukaryota_unclassified|c__Eukaryota_unclassified	17.063353202620064	8.425237479720892	1.8373213827374606

Site	551	3
1-3-7-trimethylurate	0.0084038005972076	-0.0017561225894190892	-0.08176982700483189
1-methylguanine	-0.005426949035811378	-0.030168547240696775	-0.05507724401107432
1-methylguanosine	0.06266692395426902	0.037010292316042755	-0.0015724953503595501
1-methylhistamine	0.017523284222742706	-0.01931084891097188	0.014844990817139922
1-methylnicotinamide	0.0024011493425642205	0.022101515678501667	0.013949506894224391
1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	0.03619224245629198	-0.010495501577701872	-0.01988165242119529
10-heptadecenoate	-0.01870935594181892	0.015770523113674086	0.02225311225127158
10-nonadecenoate	0.00663650269419869	-0.010844577783039459	0.002319893989513138
12.13-diHOME	0.001489458253254716	-0.03641528705698358	0.0017886708903569752
13-cis-retinoic acid	0.11199570007363525	0.04733225133266222	-0.09090908113292716
13-docosenoate	-0.01794807634794119	0.054098106521777475	0.0006752192699012085
17-methylstearate	0.02204679470383597	-0.024494318604519717	-0.01883657216049094
2'-O-methyladenosine	-0.010671570226569048	0.017723110175712674	0.022824537532022716
2-aminoadipate	-0.03333349126689144	-0.014690877153354074	0.01714574600955714
2-aminobutyrate	0.031221245661959024	0.018927481356877728	-0.011455190754003034
2-aminoheptanoic acid	0.06266735406626113	0.06923134502740434	-0.007469184044429885
2-deoxyadenosine	-0.07782869412554172	-0.05292219006283524	0.010648604342889544
2-deoxycytidine	-0.03889568335150363	0.026650098862676226	0.005661974160527283
2-hydroxy-3-methylbutyrate	-0.02388072530576567	-6.483478545692133e-05	-0.0529681663374853
2-hydroxy-3-methylpentanoate	-0.008053810637825292	-0.006284215904454294	-0.07651688950735142
2-hydroxyglutarate	-0.0048693951340165595	0.021958226959397843	-0.02388689702621761
2-hydroxyhexadecanoate	-0.00932801363828451	-0.028472370590836817	0.020722096842654365
2-hydroxyibuprofen	0.0049919044228909975	0.004823291421659206	0.021367623933285132
2-hydroxyoctanoate	0.0002266396700402641	-0.014858620628059283	0.011794369233150066
21-deoxycortisol	0.050113384780425645	-0.027720870330750227	-0.009329570047144364
3'-O-methyladenosine	-0.036357785992026846	-0.0005358827239856444	0.03400120278647668
3-hydroxydecanoate	-0.04103313618641929	0.030346965189606785	0.007215034054200382
3-hydroxymethylglutarate	0.019809407759197744	0.003903830831921486	-0.04237627927412009
3-hydroxyoctanoate	0.06414741303255378	0.05830957322356803	-0.0064524806922686
3-methyladipate/pimelate	0.005575422923080325	0.0010330877728784152	0.03345918581097678
3-methylglutaconate	0.07285363444033562	0.04281075466556308	-0.0037037252217923646
3-methylhistidine	0.002565915475042945	0.001374435226248183	0.0073873875759601386
3-methylxanthine	-0.0633423920507894	0.03799692600402222	0.025775583305142163
4-aminophenol	0.034057312686995786	-0.03285255941479648	-0.0032756840029953657
4-guanidinobutanoic acid	-0.0027276379927261207	-0.003571361375618765	0.03290739191974401
4-hydroxy-3-methylacetophenone	0.033555151089565	0.07989880772766628	0.006035024084200262
4-hydroxybenzaldehyde	-0.02641371495283325	-0.009207069454891496	0.023905982287244155
