featureid	UNKNOWN	p__Euryarchaeota|c__Methanobacteria	p__Euryarchaeota|c__Thermoplasmata	p__Actinobacteria|c__Actinobacteria	p__Actinobacteria|c__Coriobacteriia	p__Bacteroidetes|c__Bacteroidia	p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	p__Firmicutes|c__Bacilli	p__Firmicutes|c__Clostridia	p__Firmicutes|c__Erysipelotrichia	p__Firmicutes|c__Firmicutes_unclassified	p__Firmicutes|c__Negativicutes	p__Firmicutes|c__Tissierellia	p__Fusobacteria|c__Fusobacteriia	p__Lentisphaerae|c__Lentisphaeria	p__Proteobacteria|c__Betaproteobacteria	p__Proteobacteria|c__Deltaproteobacteria	p__Proteobacteria|c__Epsilonproteobacteria	p__Proteobacteria|c__Gammaproteobacteria	p__Proteobacteria|c__Proteobacteria_unclassified	p__Spirochaetes|c__Spirochaetia	p__Synergistetes|c__Synergistia	p__Verrucomicrobia|c__Verrucomicrobiae	p__Ascomycota|c__Saccharomycetes	p__Eukaryota_unclassified|c__Eukaryota_unclassified
13-docosenoate	-0.07509658827253185	-1.1720905577042895	-0.7192943792228268	-0.4207351158777722	-0.37638414660778896	-0.2935333120450885	-0.9681528573073432	-0.43168761907227005	-0.2356030044313906	-0.2503660795652225	-0.176080257012607	-0.3355837776945413	-0.027363230482722933	0.21502145675250528	-1.468576217744629	-0.40875156426788417	-0.10701754231123761	-0.013377921539304172	-0.3596379019462398	-0.3291898139406353	-1.3644731250762305	0.015673172409250924	-0.20091654452761476	-2.7364571440962853	-0.3533075936886636
17-methylstearate	-3.281858304327683	-2.2855682438265656	-2.1406445045206537	-2.9928944377187725	-3.003632345894946	-3.2189319181411538	-2.6436959237629742	-2.845391409312703	-3.1172976735253934	-2.960814659608972	-3.106628018906736	-3.0183627629218037	-3.237234249884959	-2.9479974503580664	-2.4312151878858765	-3.1890394709945853	-3.4025793216115696	-2.560846794757842	-2.766639306118451	-3.091891695699154	-2.067211971147467	-3.2409551828146075	-3.173974200153786	-1.182948002996043	-2.6895611261805907
2'-O-methyladenosine	-1.8885296199983679	-2.4640495886081197	-2.4328055692822144	-2.1216745531139227	-2.0627584290627077	-1.9141436783569166	-2.2849994328806065	-2.2895248579679617	-2.0541471934981415	-2.1915301796866578	-2.0800904747258486	-2.087076300797607	-1.986756348074615	-1.9747897389623246	-2.450048404869235	-1.927729779134213	-1.8972751517593531	-2.251030888312744	-2.3662790178272015	-2.027958346332124	-2.539184251551304	-1.96571077320832	-2.001669778500783	-3.1943449305116425	-2.175998146954324
2-aminoadipate	0.7363159497671172	-0.2481371215731547	-1.3125059172134537	0.6502047171999894	0.5009867462869745	0.8540911893596004	0.36451643123571653	0.4658284237967596	0.7267699852487652	0.4343293836790503	0.639905483139195	0.5655388784537055	0.6811386569822986	-0.5971405071672229	0.5366815876931015	0.8986827037943236	1.200305356928303	-1.0777532769690534	0.30010930883669384	0.6469150467553924	-0.6310899088905249	0.5833333408455985	0.7669015357462398	-0.7352613259648813	-0.3990254884172293
2-aminobutyrate	-1.157438207961912	-0.2975534654337946	0.7910908568264594	-1.1201607809736356	-0.9569971432171621	-1.2745079884705266	-0.8787457778492418	-0.9845977235705732	-1.1820480244753488	-0.933165885700463	-1.1092976906649388	-1.026777695986011	-1.138729872570889	0.1643518968013966	-1.0942875567471866	-1.325181213268563	-1.631833151409098	0.5873208162242052	-0.8300862059087085	-1.103900466680301	0.07182058640427202	-1.03849675198334	-1.2110896752327132	0.023442408723521435	-0.07899016566192785
2-aminoheptanoic acid	-3.247239503166812	-1.8600612438722843	0.8369705752641787	-3.4244853371648563	-2.9713927538281126	-3.5933070714884234	-3.0582429340979487	-3.23681476796719	-3.4851537303034226	-2.9943801708182045	-3.3132616588602137	-3.156623041185787	-3.265079056945095	-0.10464146455386558	-3.7918519823039114	-3.740215291162244	-4.39328678133925	0.6252607149344187	-2.9321561847105553	-3.275274345886249	-1.068967678091326	-2.994540425430136	-3.501373871467649	-1.972327434606354	-0.9568082668966724
2-deoxyadenosine	5.843566110281852	3.8018999356412397	1.0058370046410294	5.883086181284484	5.401583628406081	6.141303492470006	5.226614915616546	5.647991637853007	6.032722804699217	5.458928318338939	5.8569699858669555	5.623716130389441	5.863783052445317	2.4659852741103205	5.816309587774233	6.252754495327785	7.098581144671209	1.5421761695909535	5.339320054552461	5.754283438094576	2.837527876181299	5.5798134439982565	6.068274832390638	3.217281043536685	3.1624840917610983
2-deoxycytidine	2.395816088954756	0.869274545597569	0.3504667234591772	2.1224214589120973	2.0118287353020614	2.3174219437147228	1.4843397898815005	2.0281221220743695	2.3170343849373713	2.1172771816333045	2.3068878014075627	2.1101918480227955	2.432042220330435	1.5623424184657555	1.2691918277469103	2.2624958754034656	2.7610621451143293	1.0763766889612785	1.980823156065556	2.161379737324454	0.41516348309267626	2.3789306490839337	2.359179310606749	-0.5767071272283144	1.3245258672546303
2-hydroxy-3-methylbutyrate	-0.2648031641947548	-0.893516526274772	-1.4798865982849765	-0.06589679252310915	-0.34721681558217565	-0.3417391655532729	-0.5691087116747982	0.2485150088706196	0.04162517554740308	0.14165370666186394	0.10342127400457413	-0.15011526253216612	0.036381374977497494	-0.9803019617548472	-0.5316296926031958	-0.40676357812538966	0.1911172368882772	-0.8978601328085722	0.42057260404272145	-0.25382681824442876	-1.2997379360226713	-0.0770369591182245	-0.038083555214434184	-1.1389493620070588	-0.8842790688183264
2-hydroxy-3-methylpentanoate	0.2328203354396421	0.23850106563440376	-0.05820867740938754	0.6223110276133059	0.33164780344113065	0.13117997725031572	0.2723815659144342	1.119703761632195	0.6705782596076242	0.9526243996327994	0.7773158925974566	0.5379899470437249	0.628916615704429	-0.046674566259741646	0.3571641523351019	0.05384202431983666	0.5740104535189223	0.37280705316526985	1.4094062086453416	0.35865731837224146	-0.02551073589018449	0.52434623829099	0.5386747642507151	0.5887395027627189	0.11838009660826998
2-hydroxyglutarate	-0.9031528655221472	-1.2052809664964748	-0.9588161692449295	-0.917272751752009	-0.9622767699869127	-1.0343642214895574	-1.1999058543200714	-0.7565287557496303	-0.839821257353365	-0.7279947789736978	-0.7755424371055386	-0.8955008728799035	-0.766468788350319	-0.6825334872162445	-1.4013416605615996	-1.1096092488668066	-0.8837206751249314	-0.5868226151612093	-0.6203170253732005	-0.9578131351923513	-1.304878353361775	-0.7664102916875564	-0.8694313097209369	-1.6657090058660322	-0.8901251842239493
2-hydroxyhexadecanoate	1.628178817089489	1.541226202503611	0.842907519608316	1.6640942981159934	1.610215734793755	1.797832585973838	1.7782293958394741	1.4886337819788924	1.6234916756301638	1.4229331471374875	1.5322927734182197	1.5977166046150106	1.5118437078077447	0.8425961596264964	2.0548284744682466	1.8777911715329796	1.8340197041098483	0.6158184370541862	1.330849633294731	1.6605527808282403	1.4542444550808038	1.4564708386923595	1.6505035784145297	1.852919621840282	1.151880197981889
2-hydroxyibuprofen	-0.5167848364404599	-0.4592848378915415	-0.25357926451638924	-0.6302818153745442	-0.5303029944431509	-0.49844985958154275	-0.5237739168163134	-0.768661438408258	-0.6463460371368646	-0.7135020287446192	-0.6746846028611775	-0.5950892414030146	-0.6376600549028781	-0.30439413110669467	-0.5823707163193452	-0.48519895890365794	-0.6646273814750083	-0.3882708184969643	-0.8324545738334007	-0.5563601710901658	-0.35128901322355244	-0.599028739375461	-0.610776345296926	-0.564372762709517	-0.38588635414073735
