Eigvals	3
219.35000391085532	91.83089327048495	73.21192139054635

Proportion explained	3
0.7772008574844391	0.13621834386571183	0.08658079864984913

Species	144	3
UNKNOWN	-15.741687589982073	-0.9999877612546111	4.080492653643642
f__Methanobacteriaceae|g__Methanobrevibacter	10.283526352243214	3.2181221556880795	0.07978712851893627
f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	1.4468472767494394	-0.35733133518767807	2.473347735444188
f__Actinomycetaceae|g__Actinomyces	-13.211937763437344	-1.9077177870408675	10.235119939858526
f__Bifidobacteriaceae|g__Aeriscardovia	9.737711675112843	0.6685971216041772	-0.5487334911254061
f__Bifidobacteriaceae|g__Alloscardovia	10.528081529313516	-2.1772657451770234	3.001758727615564
f__Bifidobacteriaceae|g__Bifidobacterium	-9.51112223630143	-2.4966078719572145	5.518663719773771
f__Micrococcaceae|g__Rothia	2.0450255798853734	-14.84540173330524	-7.635783513138594
f__Propionibacteriaceae|g__Cutibacterium	-22.205353735960145	-16.976316819623964	1.7962966925783164
f__Atopobiaceae|g__Atopobium	-9.103094951603843	-6.029918205584367	-0.9815594734825012
f__Atopobiaceae|g__Olsenella	0.8607534221765737	-5.207425799385519	-6.1491902090561315
f__Coriobacteriaceae|g__Collinsella	-15.550167146293756	2.4637985061296175	-0.8904700216171944
f__Coriobacteriaceae|g__Enorma	4.010103082280462	9.039933783292025	-5.463972970107544
f__Eggerthellaceae|g__Adlercreutzia	19.984682885129118	20.94374594018853	-5.990990937404369
f__Eggerthellaceae|g__Asaccharobacter	-5.759484637456467	0.032042005938502094	-5.6012993205912185
f__Eggerthellaceae|g__Eggerthella	-2.238710253945792	-5.716162676152198	-2.76689334440244
f__Eggerthellaceae|g__Enterorhabdus	12.107068415947605	-14.676344790840812	-2.1000679802803144
f__Eggerthellaceae|g__Gordonibacter	16.79903409466553	6.84350363165019	23.933406695243196
f__Eggerthellaceae|g__Slackia	24.704664468692055	-9.136447612030082	-10.622295001544298
f__Bacteroidaceae|g__Bacteroides	-21.803851520501826	0.7389962477736902	2.8510634743829537
f__Barnesiellaceae|g__Barnesiella	-30.341878247758974	-3.162905320816844	6.394883155930269
f__Barnesiellaceae|g__Coprobacter	-40.57486938227371	-4.5568534705675745	10.30379959947679
f__Dysgonamonadaceae|g__Dysgonomonas	6.664064492666386	-8.312845574856038	4.545422605100242
f__Odoribacteraceae|g__Butyricimonas	-0.5734744250902808	-0.5630967642515784	2.103012878516661
f__Odoribacteraceae|g__Odoribacter	-11.014498998854394	-1.5090282860685948	2.1343220246213637
f__Porphyromonadaceae|g__Porphyromonas	-27.01172680181851	2.951748134015917	2.2001749933944685
f__Porphyromonadaceae|g__Sanguibacteroides	19.898960051408697	-3.3488670462283454	-6.333690872563135
f__Prevotellaceae|g__Alloprevotella	-21.77455013592921	-8.022591265663005	-15.577901228382078
f__Prevotellaceae|g__Paraprevotella	-0.9072696020503687	13.067701597249721	-12.171075095772917
f__Prevotellaceae|g__Prevotella	-24.907693685838044	-0.338433482190113	3.426470551417453
f__Rikenellaceae|g__Alistipes	-23.191716570583566	-0.0028314031591292993	2.2960799793716413
f__Rikenellaceae|g__Rikenella	12.731830997392276	4.530433974219211	-11.045462329573459
f__Tannerellaceae|g__Parabacteroides	-21.486096911470664	1.6383176571497684	1.3080674778104728
f__Candidatus_Gastranaerophilales_unclassified|g__Candidatus_Gastranaerophilales_unclassified	32.14976407788891	-10.432545531935123	1.5473643642375863
f__Bacillales_unclassified|g__Gemella	54.2132224842339	9.637353164176158	-11.274027180931478
f__Staphylococcaceae|g__Staphylococcus	-0.3305546787578914	-6.566032716471696	-3.3161198787173753
f__Carnobacteriaceae|g__Granulicatella	13.84987668271442	11.420257048903457	-4.222691329335967
f__Enterococcaceae|g__Enterococcus	5.318621060813932	-2.3026529194763437	-0.5228247618293614
f__Lactobacillaceae|g__Lactobacillus	-18.40239141691224	9.231862246905086	1.3778345550326268
f__Lactobacillaceae|g__Pediococcus	-6.325558142405046	-8.124173586000584	0.9795549115859443
f__Leuconostocaceae|g__Leuconostoc	6.097970900930079	1.5123836159759962	-1.6170802714053925
f__Leuconostocaceae|g__Weissella	0.3688554622766584	-17.418136847387302	-7.643938499324688
f__Streptococcaceae|g__Lactococcus	-13.03040711670339	6.714653760367144	9.22681224876355
f__Streptococcaceae|g__Streptococcus	1.1277530726205987	-1.9777771987093449	2.366880317895813
f__Christensenellaceae|g__Christensenella	18.254974948810375	-0.6118740291119183	3.261525423378092
f__Clostridiaceae|g__Butyricicoccus	11.242271758623756	-16.228139479404806	7.903236168857194
f__Clostridiaceae|g__Clostridium	3.515331609251069	5.949945742337759	3.382161521130565
f__Clostridiaceae|g__Hungatella	8.949265733779411	15.755710638125512	-12.499616991902592
f__Clostridiales_unclassified|g__Clostridiales_unclassified	-7.80715134787535	16.845931010554832	-0.8788045288613189
f__Clostridiales_unclassified|g__Intestinimonas	4.300209376664631	-11.960944878172894	-0.25160064942665067
f__Clostridiales_unclassified|g__Lawsonibacter	12.282705331944516	8.208781983962307	0.24937412333244516
f__Clostridiales_unclassified|g__Monoglobus	17.132172059875806	4.370373118952947	-6.4278670833104
f__Eubacteriaceae|g__Anaerofustis	-5.176011420104572	14.79760704355584	-1.5396375905121795
f__Eubacteriaceae|g__Eubacterium	-23.10593191731176	-1.2076903761824787	3.6152018857282333
f__Lachnospiraceae|g__Anaerostipes	-17.384171474828996	5.192119991252971	-3.576643149658055
f__Lachnospiraceae|g__Anaerotignum	22.417388138669384	-18.392572274290977	-3.3954469692539146
